cat,s,S_counts,trials,freq,condition,animal,oddball,tract,neuron,merged_column,unit,animal_unit,division,BF (kHz),MT (dB),RC (x),depth (z),ML (y),block_type,cat2,FR(s),FR_agg,mean_standard_FR(s),FR_norm
standard,0.025,32,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,4.0,24.625,2.4625,1.6243654822335025
standard,0.05,26,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,3.25,24.625,2.4625,1.3197969543147208
standard,0.075,18,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,2.25,24.625,2.4625,0.9137055837563453
standard,0.1,24,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,3.0,24.625,2.4625,1.218274111675127
standard,0.125,19,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,2.375,24.625,2.4625,0.9644670050761421
standard,0.15,12,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,1.5,24.625,2.4625,0.6091370558375635
standard,0.175,5,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.625,24.625,2.4625,0.25380710659898476
standard,0.2,18,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,2.25,24.625,2.4625,0.9137055837563453
standard,0.225,30,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,3.75,24.625,2.4625,1.5228426395939088
standard,0.25,13,320,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,1.625,24.625,2.4625,0.6598984771573604
deviant,0.025,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,23.0,2.4625,0.0
deviant,0.05,5,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,5.0,23.0,2.4625,2.030456852791878
deviant,0.075,3,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,3.0,23.0,2.4625,1.218274111675127
deviant,0.1,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,23.0,2.4625,0.0
deviant,0.125,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,23.0,2.4625,0.0
deviant,0.15,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,23.0,2.4625,0.0
deviant,0.175,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,23.0,2.4625,0.0
deviant,0.2,1,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,1.0,23.0,2.4625,0.40609137055837563
deviant,0.225,6,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,6.0,23.0,2.4625,2.436548223350254
deviant,0.25,8,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,8.0,23.0,2.4625,3.248730964467005
after_deviant,0.025,3,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,3.0,45.0,2.4625,1.218274111675127
after_deviant,0.05,16,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,16.0,45.0,2.4625,6.49746192893401
after_deviant,0.075,8,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,8.0,45.0,2.4625,3.248730964467005
after_deviant,0.1,9,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,9.0,45.0,2.4625,3.654822335025381
after_deviant,0.125,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,45.0,2.4625,0.0
after_deviant,0.15,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,45.0,2.4625,0.0
after_deviant,0.175,0,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,0.0,45.0,2.4625,0.0
after_deviant,0.2,2,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,2.0,45.0,2.4625,0.8121827411167513
after_deviant,0.225,3,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,3.0,45.0,2.4625,1.218274111675127
after_deviant,0.25,4,40,24600.0,1,18_048,1-3-ODD-1-2-C1,1,3,18_048_1-3-ODD-1-2-C1,1-3,18_048_1-3,,,,,335.0,,control_block_1,,4.0,45.0,2.4625,1.6243654822335025
standard,0.025,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.05,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.075,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.1,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.125,1,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.125,0.25,2.4625,0.050761421319796954
standard,0.15,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.175,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.2,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.225,0,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.25,2.4625,0.0
standard,0.25,1,320,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.125,0.25,2.4625,0.050761421319796954
deviant,0.025,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.05,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.075,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.1,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.125,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.15,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.175,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.2,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.225,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
deviant,0.25,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,0.0,2.4625,0.0
after_deviant,0.025,1,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,1.0,1.0,2.4625,0.40609137055837563
after_deviant,0.05,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.075,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.1,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.125,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.15,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.175,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.2,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.225,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
after_deviant,0.25,0,40,24600.0,1,18_048,1-3-ODD-1-2-F1-ACH,1,3,18_048_1-3-ODD-1-2-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_1,,0.0,1.0,2.4625,0.0
standard,0.025,8,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.0,19.875,1.9875,0.5031446540880503
standard,0.05,10,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.25,19.875,1.9875,0.6289308176100629
standard,0.075,11,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.375,19.875,1.9875,0.6918238993710691
standard,0.1,23,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,2.875,19.875,1.9875,1.4465408805031446
standard,0.125,11,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.375,19.875,1.9875,0.6918238993710691
standard,0.15,30,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,3.75,19.875,1.9875,1.8867924528301887
standard,0.175,21,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,2.625,19.875,1.9875,1.320754716981132
standard,0.2,16,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,2.0,19.875,1.9875,1.0062893081761006
standard,0.225,12,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.5,19.875,1.9875,0.7547169811320754
standard,0.25,17,320,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,2.125,19.875,1.9875,1.069182389937107
deviant,0.025,5,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,5.0,8.0,1.9875,2.5157232704402515
deviant,0.05,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.075,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.1,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.125,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.15,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.175,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.2,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
deviant,0.225,3,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,3.0,8.0,1.9875,1.5094339622641508
deviant,0.25,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,8.0,1.9875,0.0
after_deviant,0.025,3,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,3.0,5.0,1.9875,1.5094339622641508
after_deviant,0.05,1,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.0,5.0,1.9875,0.5031446540880503
after_deviant,0.075,1,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,1.0,5.0,1.9875,0.5031446540880503
after_deviant,0.1,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
after_deviant,0.125,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
after_deviant,0.15,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
after_deviant,0.175,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
after_deviant,0.2,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
after_deviant,0.225,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
after_deviant,0.25,0,40,30300.0,1,18_048,1-3-ODD-2-1-C1,1,3,18_048_1-3-ODD-2-1-C1,1-3,18_048_1-3,,,,,335.0,,control_block_2,,0.0,5.0,1.9875,0.0
standard,0.025,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.05,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.075,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.1,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.125,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.15,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.175,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.2,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.225,0,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.125,1.9875,0.0
standard,0.25,1,320,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.125,0.125,1.9875,0.06289308176100629
deviant,0.025,0,40,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.0,1.9875,0.0
deviant,0.05,0,40,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.0,1.9875,0.0
deviant,0.075,0,40,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.0,1.9875,0.0
deviant,0.1,0,40,30300.0,1,18_048,1-3-ODD-2-1-F1-ACH,1,3,18_048_1-3-ODD-2-1-F1-ACH,1-3,18_048_1-3,,,,,335.0,,effect_block_2,,0.0,0.0,1.9875,0.0
