Tank,Unit,FreqPair,Polarity,N_Spikes,SNR,PeakToPeak_(V),Jitter_(ms),MeanCorrelation
18_048,1-3,1,neg,443,1.8703408,0.0001226262,0.5709138109426612,0.6535658849495188
18_048,2-1,1,neg,648,2.2540832,8.945157e-05,0.44142651000095845,0.7043895521319593
18_058,3-1,1,neg,744,2.6375291,0.0001092662,0.2893648575220154,0.814233048472743
18_079,1-2,1,neg,193,1.8046303,0.00010500284,0.669754096028555,0.6338528418915684
18_092,1-2,1,neg,3430,2.5566497,8.764933e-05,0.34678899163162347,0.7749487073125665
18_117,1-1,1,neg,2838,2.1701787,3.6268946e-05,0.3086273251097222,0.7350367932201998
18_137,2-1,1,neg,370,2.5170758,5.6424797e-05,0.2526352585114898,0.7754743308317663
18_137,3-1,1,pos,1279,1.4475316,4.560455e-05,0.25764333182495414,0.5862945075689879
18_175,2-1,1,neg,6324,2.3944192,0.0002903517,0.29596271553116593,0.8507763546759874
18_175,2-1,2,neg,545,1.7677815,0.00014272323,0.24010025940458493,0.7465223636831374
18_191,3-1,1,neg,1456,2.9789052,0.000120609686,0.1442677545134183,0.8213300706139244
19_031,3-1,1,neg,1836,1.9437859,7.3193645e-05,0.6040137170565438,0.592624480994143
19_031,4-1,1,neg,3861,2.1961145,8.317417e-05,0.5320069358329279,0.6960417288944387
19_035,1-1,1,neg,668,2.8403337,0.00017671403,0.1677241679043529,0.9215844789196794
19_035,1-1,2,neg,634,2.8322783,0.00018424989,0.13615672840326487,0.9178090118713318
19_037,2-1,1,neg,779,2.2822342,3.1750296e-05,0.375734255762349,0.7527624630207895
19_046,2-1,1,neg,1083,2.760654,0.00012577594,0.23554404107922275,0.8304021791582841
19_046,3-1,1,neg,1285,2.4911606,0.00019099831,0.10386260335074754,0.9080310195163369
19_046,3-1,2,neg,702,2.939787,0.00018279703,0.0042482937506967975,0.9520578068206773
19_049,2-1,1,neg,2178,2.4250565,6.864169e-05,0.4268433160842176,0.6857018797664242
19_049,2-1,2,neg,2517,2.3586476,6.857471e-05,0.4319582541554367,0.6885589411332932
19_049,4-1,1,neg,880,2.943523,0.00012325891,0.12109109076481049,0.853777428027761
19_049,4-1,2,neg,914,3.2202907,0.00013992673,0.09810864200329691,0.9040485980832739
